prefix,lat,lon,dxcc,iso3,name
3O7Q,22.8,108.33,318,CHN,China
3O7Y,20.02,110.27,318,CHN,China
3O8A,30.63,104.03,318,CHN,China
3O8G,29.58,106.42,318,CHN,China
3O8M,26.53,106.67,318,CHN,China
3O8S,25.02,102.68,318,CHN,China
3O9A,34.25,109.0,318,CHN,China
3O9G,36.02,103.87,318,CHN,China
3O9M,38.5,106.25,318,CHN,China
3O9S,36.57,101.67,318,CHN,China
3P0A,43.75,87.75,318,CHN,China
3P0G,29.42,90.97,318,CHN,China
3P1,39.93,116.4,318,CHN,China
3P2A,45.8,126.67,318,CHN,China
3P2I,43.95,125.28,318,CHN,China
3P2Q,41.8,123.45,318,CHN,China
3P3A,39.13,117.17,318,CHN,China
3P3G,40.87,111.67,318,CHN,China
3P3M,38.03,114.47,318,CHN,China
3P3S,37.87,112.55,318,CHN,China
3P4A,31.25,121.43,318,CHN,China
3P4I,36.63,117.02,318,CHN,China
3P4Q,32.03,118.78,318,CHN,China
3P5A,30.3,120.18,318,CHN,China
3P5I,30.72,106.03,318,CHN,China
3P5Q,26.08,119.27,318,CHN,China
3P6A,31.87,117.3,318,CHN,China
3P6I,34.75,113.57,318,CHN,China
3P6Q,30.52,114.3,318,CHN,China
3P7A,28.2,113.0,318,CHN,China
3P7I,23.08,113.17,318,CHN,China
3P7Q,22.8,108.33,318,CHN,China
3P7Y,20.02,110.27,318,CHN,China
3P8A,30.63,104.03,318,CHN,China
3P8G,29.58,106.42,318,CHN,China
3P8M,26.53,106.67,318,CHN,China
3P8S,25.02,102.68,318,CHN,China
3P9A,34.25,109.0,318,CHN,China
3P9G,36.02,103.87,318,CHN,China
3P9M,38.5,106.25,318,CHN,China
3P9S,36.57,101.67,318,CHN,China
3Q0A,43.75,87.75,318,CHN,China
3Q0G,29.42,90.97,318,CHN,China
3Q1,39.93,116.4,318,CHN,China
3Q2A,45.8,126.67,318,CHN,China
3Q2I,43.95,125.28,318,CHN,China
3Q2Q,41.8,123.45,318,CHN,China
3Q3A,39.13,117.17,318,CHN,China
3Q3G,40.87,111.67,318,CHN,China
3Q3M,38.03,114.47,318,CHN,China
3Q3S,37.87,112.55,318,CHN,China
3Q4A,31.25,121.43,318,CHN,China
3Q4I,36.63,117.02,318,CHN,China
3Q4Q,32.03,118.78,318,CHN,China
3Q5A,30.3,120.18,318,CHN,China
3Q5I,30.72,106.03,318,CHN,China
3Q5Q,26.08,119.27,318,CHN,China
3Q6A,31.87,117.3,318,CHN,China
3Q6I,34.75,113.57,318,CHN,China
3Q6Q,30.52,114.3,318,CHN,China
3Q7A,28.2,113.0,318,CHN,China
3Q7I,23.08,113.17,318,CHN,China
3Q7Q,22.8,108.33,318,CHN,China
3Q7Y,20.02,110.27,318,CHN,China
3Q8A,30.63,104.03,318,CHN,China
3Q8G,29.58,106.42,318,CHN,China
3Q8M,26.53,106.67,318,CHN,China
3Q8S,25.02,102.68,318,CHN,China
3Q9A,34.25,109.0,318,CHN,China
3Q9G,36.02,103.87,318,CHN,China
3Q9M,38.5,106.25,318,CHN,China
3Q9S,36.57,101.67,318,CHN,China
3R0A,43.75,87.75,318,CHN,China
3R0G,29.42,90.97,318,CHN,China
3R1,39.93,116.4,318,CHN,China
3R2A,45.8,126.67,318,CHN,China
3R2I,43.95,125.28,318,CHN,China
3R2Q,41.8,123.45,318,CHN,China
3R3A,39.13,117.17,318,CHN,China
3R3G,40.87,111.67,318,CHN,China
3R3M,38.03,114.47,318,CHN,China
3R3S,37.87,112.55,318,CHN,China
3R4A,31.25,121.43,318,CHN,China
3R4I,36.63,117.02,318,CHN,China
3R4Q,32.03,118.78,318,CHN,China
3R5A,30.3,120.18,318,CHN,China
3R5I,30.72,106.03,318,CHN,China
3R5Q,26.08,119.27,318,CHN,China
3R6A,31.87,117.3,318,CHN,China
3R6I,34.75,113.57,318,CHN,China
3R6Q,30.52,114.3,318,CHN,China
3R7A,28.2,113.0,318,CHN,China
3R7I,23.08,113.17,318,CHN,China
3R7Q,22.8,108.33,318,CHN,China
3R7Y,20.02,110.27,318,CHN,China
3R8A,30.63,104.03,318,CHN,China
3R8G,29.58,106.42,318,CHN,China
3R8M,26.53,106.67,318,CHN,China
3R8S,25.02,102.68,318,CHN,China
3R9A,34.25,109.0,318,CHN,China
3R9G,36.02,103.87,318,CHN,China
3R9M,38.5,106.25,318,CHN,China
3R9S,36.57,101.67,318,CHN,China
3S0A,43.75,87.75,318,CHN,China
3S0G,29.42,90.97,318,CHN,China
3S1,39.93,116.4,318,CHN,China
3S2A,45.8,126.67,318,CHN,China
3S2I,43.95,125.28,318,CHN,China
3S2Q,41.8,123.45,318,CHN,China
3S3A,39.13,117.17,318,CHN,China
3S3G,40.87,111.67,318,CHN,China
3S3M,38.03,114.47,318,CHN,China
3S3S,37.87,112.55,318,CHN,China
3S4A,31.25,121.43,318,CHN,China
3S4I,36.63,117.02,318,CHN,China
3S4Q,32.03,118.78,318,CHN,China
3S5A,30.3,120.18,318,CHN,China
3S5I,30.72,106.03,318,CHN,China
3S5Q,26.08,119.27,318,CHN,China
3S6A,31.87,117.3,318,CHN,China
3S6I,34.75,113.57,318,CHN,China
3S6Q,30.52,114.3,318,CHN,China
3S7A,28.2,113.0,318,CHN,China
3S7I,23.08,113.17,318,CHN,China
3S7Q,22.8,108.33,318,CHN,China
3S7Y,20.02,110.27,318,CHN,China
3S8A,30.63,104.03,318,CHN,China
3S8G,29.58,106.42,318,CHN,China
3S8M,26.53,106.67,318,CHN,China
3S8S,25.02,102.68,318,CHN,China
3S9A,34.25,109.0,318,CHN,China
3S9G,36.02,103.87,318,CHN,China
3S9M,38.5,106.25,318,CHN,China
3S9S,36.57,101.67,318,CHN,China
3T0A,43.75,87.75,318,CHN,China
3T0G,29.42,90.97,318,CHN,China
3T1,39.93,116.4,318,CHN,China
3T2A,45.8,126.67,318,CHN,China
3T2I,43.95,125.28,318,CHN,China
3T2Q,41.8,123.45,318,CHN,China
3T3A,39.13,117.17,318,CHN,China
3T3G,40.87,111.67,318,CHN,China
3T3M,38.03,114.47,318,CHN,China
3T3S,37.87,112.55,318,CHN,China
3T4A,31.25,121.43,318,CHN,China
3T4I,36.63,117.02,318,CHN,China
3T4Q,32.03,118.78,318,CHN,China
3T5A,30.3,120.18,318,CHN,China
3T5I,30.72,106.03,318,CHN,China
3T5Q,26.08,119.27,318,CHN,China
3T6A,31.87,117.3,318,CHN,China
3T6I,34.75,113.57,318,CHN,China
3T6Q,30.52,114.3,318,CHN,China
3T7A,28.2,113.0,318,CHN,China
3T7I,23.08,113.17,318,CHN,China
3T7Q,22.8,108.33,318,CHN,China
3T7Y,20.02,110.27,318,CHN,China
3T8A,30.63,104.03,318,CHN,China
3T8G,29.58,106.42,318,CHN,China
3T8M,26.53,106.67,318,CHN,China
3T8S,25.02,102.68,318,CHN,China
3T9A,34.25,109.0,318,CHN,China
3T9G,36.02,103.87,318,CHN,China
3T9M,38.5,106.25,318,CHN,China
3T9S,36.57,101.67,318,CHN,China
3U0A,43.75,87.75,318,CHN,China
3U0G,29.42,90.97,318,CHN,China
3U1,39.93,116.4,318,CHN,China
3U2A,45.8,126.67,318,CHN,China
3U2I,43.95,125.28,318,CHN,China
3U2Q,41.8,123.45,318,CHN,China
3U3A,39.13,117.17,318,CHN,China
3U3G,40.87,111.67,318,CHN,China
3U3M,38.03,114.47,318,CHN,China
3U3S,37.87,112.55,318,CHN,China
3U4A,31.25,121.43,318,CHN,China
3U4I,36.63,117.02,318,CHN,China
3U4Q,32.03,118.78,318,CHN,China
3U5A,30.3,120.18,318,CHN,China
3U5I,30.72,106.03,318,CHN,China
3U5Q,26.08,119.27,318,CHN,China
3U6A,31.87,117.3,318,CHN,China
3U6I,34.75,113.57,318,CHN,China
3U6Q,30.52,114.3,318,CHN,China
3U7A,28.2,113.0,318,CHN,China
3U7I,23.08,113.17,318,CHN,China
